sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity	afn-researching-quantity	afn-reserved-future-supply	afn-future-supply-buyable	afn-fulfillable-quantity-local	afn-fulfillable-quantity-remote
ANKO-01.22-66,3-B08X4Q7HRN	X001ID0GNH	B08X4Q7HRN	Lovebox Couleur & Photo - Boîte à Amour connectée - Prise Europe	New	119.99	No		Yes	0	0	0	0	0	1379.46	0	0	0	0	0	0	0	0
BOOK-04.23-10-2732482544	X001RDQ8LR	2732482544	Un demi-siècle dans l'Himalaya	New	40.00	No		Yes	8	8	0	0	8	2643.07	0	0	0	0	0	0	8	0
BOOK-04.23-13,04-2732492566	X001RDS7RP	2732492566	Gourmandise raisonnée	New	49.00	No		Yes	0	0	0	0	0	2231.43	0	0	0	0	0	0	0	0
BOOK-04.23-2,27-2412022348	X001RF39WL	2412022348	Les trépidantes aventures d'un Américain en France	New	15.51	No		Yes	0	0	0	0	0	686.45	0	0	0	0	0	0	0	0
BOOK-04.23-2,29-2747096424	X001RDQ94X	2747096424	Un livre	New	9.92	No		Yes	1	1	0	0	1	270.06	0	0	0	0	0	0	1	0
BOOK-04.23-2,71-2813220337	X001RF3A75	2813220337	280 huiles essentielles (Poche)	New	11.57	No		Yes	0	0	0	0	0	336.1	0	0	0	0	0	0	0	0
BOOK-04.23-2,75-2226206027	X001RDQDDF	2226206027	Absolument dé-bor-dée ! ou le paradoxe du fonctionnaire - Comment faire les 35 heures en... un mois !	New	16.70	No		Yes	0	0	0	0	0	838.69	0	0	0	0	0	0	0	0
BOOK-04.23-2,85-B07B14J3S4	X001RE2WWZ	B07B14J3S4	Hergé de Profil - Une étoile plus mystérieuse du tout !	New	13.85	No		Yes	0	0	0	0	0	712.84	0	0	0	0	0	0	0	0
BOOK-04.23-2,89-2745994840	X001RE5RIV	2745994840	Le collège noir, Tome 02: Le livre de la pierre	New	11.31	No		Yes	0	0	0	0	0	490.3	0	0	0	0	0	0	0	0
BOOK-04.23-2,92-2747098133	X001RE2BXZ	2747098133	Les dragons de Nalsara compilation, Tome 03: Le danger venu de la mer	New	9.31	No		Yes	0	0	0	0	0	477.52	0	0	0	0	0	0	0	0
BOOK-04.23-2,92-2755629134	X001RE29CX	2755629134	Calendar Girl - Février	New	9.50	No		Yes	0	0	0	0	0	371.33	0	0	0	0	0	0	0	0
BOOK-04.23-2,92-2755629150	X001RE2SUL	2755629150	Calendar Girl - Avril	New	9.71	No		Yes	0	0	0	0	0	413.77	0	0	0	0	0	0	0	0
BOOK-04.23-2,92-281321759X	X001RE2ASB	281321759X	Le guide de la femme heureuse (Poche)	New	10.74	No		Yes	0	0	0	0	0	336.1	0	0	0	0	0	0	0	0
BOOK-04.23-2,93-2210558026	X001RE306H	2210558026	Outils pour les Maths CM1 (2011) - Livre de l'élève	New	12.00	No		Yes	0	0	0	0	0	533.07	0	0	0	0	0	0	0	0
BOOK-04.23-2,93-2365492215	X001RDSBSP	2365492215	Maigrir sereinement avec les thérapies cognitives et comportementales (TCC)	New	13.90	No		Yes	0	0	0	0	0	571.25	0	0	0	0	0	0	0	0
BOOK-04.23-2,93-274597341X	X001RE2U3B	274597341X	Sur mon fil	New	13.90	No		Yes	0	0	0	0	0	738.73	0	0	0	0	0	0	0	0
BOOK-04.23-2,93-2745988271	X001RDXMRP	2745988271	Le journal d'une grosse nouille, Tome 11: Une amitié aigre-douce	New	13.90	No		Yes	0	0	0	0	0	608.78	0	0	0	0	0	0	0	0
BOOK-04.23-2,93-2745996053	X001RE2DHT	2745996053	Lili Goth, Tome 04: La symphonie sinistre	New	13.60	No		Yes	0	0	0	0	0	631.72	0	0	0	0	0	0	0	0
BOOK-04.23-2,97-2747091295	X001RDSBZX	2747091295	J'ai confiance en moi !	New	11.90	No		Yes	0	0	0	0	0	679.08	0	0	0	0	0	0	0	0
BOOK-04.23-3,08-2354902042	X001RF770V	2354902042	Les Femmes de la Bible	New	9.67	No		Yes	0	0	0	0	0	269.08	0	0	0	0	0	0	0	0
